DATE,MORTGAGE30US,FEDFUNDS,GS10,MICH,UNRATE,USREC,CSUSHPISA,MSACSR,GDP
1987-01-02,9.37,6.43,7.08,2.9,6.6,0,63.965,6.0,37132.0
1987-01-09,9.32,6.43,7.08,2.9,6.6,0,63.965,6.0,37132.0
1987-01-16,9.21,6.43,7.08,2.9,6.6,0,63.965,6.0,37132.0
1987-01-23,9.04,6.43,7.08,2.9,6.6,0,63.965,6.0,37132.0
1987-01-30,9.08,6.43,7.08,2.9,6.6,0,63.965,6.0,37132.0
1987-02-06,9.06,6.1,7.25,3.1,6.6,0,64.425,6.2,37132.0
1987-02-13,9.09,6.1,7.25,3.1,6.6,0,64.425,6.2,37132.0
1987-02-20,9.11,6.1,7.25,3.1,6.6,0,64.425,6.2,37132.0
1987-02-27,9.07,6.1,7.25,3.1,6.6,0,64.425,6.2,37132.0
1987-03-06,9.03,6.13,7.25,3.0,6.6,0,64.735,6.0,37132.0
1987-03-13,9.05,6.13,7.25,3.0,6.6,0,64.735,6.0,37132.0
1987-03-20,9.03,6.13,7.25,3.0,6.6,0,64.735,6.0,37132.0
1987-03-27,9.03,6.13,7.25,3.0,6.6,0,64.735,6.0,37132.0
1987-04-03,9.26,6.37,8.02,3.0,6.3,0,65.132,6.0,37454.0
1987-04-10,9.43,6.37,8.02,3.0,6.3,0,65.132,6.0,37454.0
1987-04-17,10.27,6.37,8.02,3.0,6.3,0,65.132,6.0,37454.0
1987-04-24,10.37,6.37,8.02,3.0,6.3,0,65.132,6.0,37454.0
1987-05-01,10.47,6.85,8.61,3.4,6.3,0,65.564,6.7,37454.0
1987-05-08,10.52,6.85,8.61,3.4,6.3,0,65.564,6.7,37454.0
1987-05-15,10.48,6.85,8.61,3.4,6.3,0,65.564,6.7,37454.0
1987-05-22,10.81,6.85,8.61,3.4,6.3,0,65.564,6.7,37454.0
1987-05-29,10.7,6.85,8.61,3.4,6.3,0,65.564,6.7,37454.0
1987-06-05,10.7,6.73,8.4,3.3,6.2,0,66.071,6.9,37454.0
1987-06-12,10.66,6.73,8.4,3.3,6.2,0,66.071,6.9,37454.0
1987-06-19,10.44,6.73,8.4,3.3,6.2,0,66.071,6.9,37454.0
1987-06-26,10.35,6.73,8.4,3.3,6.2,0,66.071,6.9,37454.0
1987-07-03,10.36,6.58,8.45,3.1,6.1,0,66.507,6.7,37685.0
1987-07-10,10.3,6.58,8.45,3.1,6.1,0,66.507,6.7,37685.0
1987-07-17,10.23,6.58,8.45,3.1,6.1,0,66.507,6.7,37685.0
1987-07-24,10.23,6.58,8.45,3.1,6.1,0,66.507,6.7,37685.0
1987-07-31,10.27,6.58,8.45,3.1,6.1,0,66.507,6.7,37685.0
1987-08-07,10.35,6.73,8.76,3.2,6.0,0,66.938,6.8,37685.0
1987-08-14,10.34,6.73,8.76,3.2,6.0,0,66.938,6.8,37685.0
1987-08-21,10.3,6.73,8.76,3.2,6.0,0,66.938,6.8,37685.0
1987-08-28,10.33,6.73,8.76,3.2,6.0,0,66.938,6.8,37685.0
1987-09-04,10.63,7.22,9.42,3.0,5.9,0,67.33,6.8,37685.0
1987-09-11,10.91,7.22,9.42,3.0,5.9,0,67.33,6.8,37685.0
1987-09-18,10.99,7.22,9.42,3.0,5.9,0,67.33,6.8,37685.0
1987-09-25,11.02,7.22,9.42,3.0,5.9,0,67.33,6.8,37685.0
1987-10-02,11.18,7.29,9.52,3.3,6.0,0,67.738,6.8,38238.0
1987-10-09,11.21,7.29,9.52,3.3,6.0,0,67.738,6.8,38238.0
1987-10-16,11.58,7.29,9.52,3.3,6.0,0,67.738,6.8,38238.0
1987-10-23,11.36,7.29,9.52,3.3,6.0,0,67.738,6.8,38238.0
1987-10-30,10.97,7.29,9.52,3.3,6.0,0,67.738,6.8,38238.0
1987-11-06,10.79,6.69,8.86,3.2,5.8,0,68.107,7.0,38238.0
1987-11-13,10.66,6.69,8.86,3.2,5.8,0,68.107,7.0,38238.0
1987-11-20,10.6,6.69,8.86,3.2,5.8,0,68.107,7.0,38238.0
1987-11-27,10.55,6.69,8.86,3.2,5.8,0,68.107,7.0,38238.0
1987-12-04,10.6,6.77,8.99,3.1,5.7,0,68.506,7.6,38238.0
1987-12-11,10.66,6.77,8.99,3.1,5.7,0,68.506,7.6,38238.0
1987-12-18,10.69,6.77,8.99,3.1,5.7,0,68.506,7.6,38238.0
1987-12-25,10.64,6.77,8.99,3.1,5.7,0,68.506,7.6,38238.0
1987-12-31,10.61,6.77,8.99,3.1,5.7,0,68.506,7.6,38238.0
1988-01-08,10.5,6.83,8.67,3.2,5.7,0,68.858,7.5,38359.0
1988-01-15,10.53,6.83,8.67,3.2,5.7,0,68.858,7.5,38359.0
1988-01-22,10.34,6.83,8.67,3.2,5.7,0,68.858,7.5,38359.0
1988-01-29,10.16,6.83,8.67,3.2,5.7,0,68.858,7.5,38359.0
1988-02-05,9.94,6.58,8.21,3.1,5.7,0,69.262,6.6,38359.0
1988-02-12,9.84,6.58,8.21,3.1,5.7,0,69.262,6.6,38359.0
1988-02-19,9.92,6.58,8.21,3.1,5.7,0,69.262,6.6,38359.0
1988-02-26,9.87,6.58,8.21,3.1,5.7,0,69.262,6.6,38359.0
1988-03-04,9.85,6.58,8.37,3.2,5.7,0,69.638,6.6,38359.0
1988-03-11,9.96,6.58,8.37,3.2,5.7,0,69.638,6.6,38359.0
1988-03-18,9.92,6.58,8.37,3.2,5.7,0,69.638,6.6,38359.0
1988-03-25,9.99,6.58,8.37,3.2,5.7,0,69.638,6.6,38359.0
1988-04-01,10.05,6.87,8.72,3.3,5.4,0,69.977,6.4,38782.0
1988-04-08,10.19,6.87,8.72,3.3,5.4,0,69.977,6.4,38782.0
1988-04-15,10.19,6.87,8.72,3.3,5.4,0,69.977,6.4,38782.0
1988-04-22,10.3,6.87,8.72,3.3,5.4,0,69.977,6.4,38782.0
1988-04-29,10.28,6.87,8.72,3.3,5.4,0,69.977,6.4,38782.0
1988-05-06,10.32,7.09,9.09,3.3,5.6,0,70.427,6.6,38782.0
1988-05-13,10.4,7.09,9.09,3.3,5.6,0,70.427,6.6,38782.0
1988-05-20,10.52,7.09,9.09,3.3,5.6,0,70.427,6.6,38782.0
1988-05-27,10.58,7.09,9.09,3.3,5.6,0,70.427,6.6,38782.0
1988-06-03,10.58,7.51,8.92,3.7,5.4,0,70.889,6.2,38782.0
1988-06-10,10.51,7.51,8.92,3.7,5.4,0,70.889,6.2,38782.0
1988-06-17,10.35,7.51,8.92,3.7,5.4,0,70.889,6.2,38782.0
1988-06-24,10.4,7.51,8.92,3.7,5.4,0,70.889,6.2,38782.0
1988-07-01,10.39,7.75,9.06,4.6,5.4,0,71.354,6.6,38908.0
1988-07-08,10.38,7.75,9.06,4.6,5.4,0,71.354,6.6,38908.0
1988-07-15,10.44,7.75,9.06,4.6,5.4,0,71.354,6.6,38908.0
1988-07-22,10.46,7.75,9.06,4.6,5.4,0,71.354,6.6,38908.0
1988-07-29,10.49,7.75,9.06,4.6,5.4,0,71.354,6.6,38908.0
1988-08-05,10.44,8.01,9.26,4.4,5.6,0,71.8,6.6,38908.0
1988-08-12,10.57,8.01,9.26,4.4,5.6,0,71.8,6.6,38908.0
